TYPE	AUTHOR(S)	TITLE	ABSTRACT	YEAR	KEYWORDS
(T)	[Iverson](https://aplwiki.com/wiki/Ken_Iverson)	[Machine Solutions of Linear Differential Equations ― Applications to a Dynamic Economic Model](https://www.jsoftware.com/papers/MSLDE.htm)	Doctoral Thesis, [Harvard University](https://en.wikipedia.org/wiki/Harvard_University)	1954	
(T)	[Iverson](https://aplwiki.com/wiki/Ken_Iverson)	[Graduate Instruction and Research](https://www.jsoftware.com/papers/GradIR.htm)	The First Conference on Training Personnel for the Computing Machine Field, Arvid W. Jacobson, editor, [Wayne State University](https://en.wikipedia.org/wiki/Wayne_State_University)	1954	
(T)	[Iverson](https://aplwiki.com/wiki/Ken_Iverson)	[The Description of Finite Sequential Processes](https://www.jsoftware.com/papers/DFSP.htm)	Symposium on Information Theory, [Royal Institution](https://en.wikipedia.org/wiki/Royal_Institution), London	1960	
(T)	[Iverson](https://aplwiki.com/wiki/Ken_Iverson)	[A Programming Language](https://www.jsoftware.com/papers/APL.htm)	[Wiley](https://en.wikipedia.org/wiki/Wiley_(publisher))	1962	
(T)	[Iverson](https://aplwiki.com/wiki/Ken_Iverson)	[A Common Language for Hardware, SoftwareApplications](https://www.jsoftware.com/papers/AFIPS196212.htm)	Proceedings of the [AFIPS](https://en.wikipedia.org/wiki/American_Federation_of_Information_Processing_Societies) Fall Joint Computer Conference, Philadelphia	1962	
(T)	[Iverson](https://aplwiki.com/wiki/Ken_Iverson)	[A Programming Language](https://www.jsoftware.com/papers/AFIPS196205.htm)	Proceedings of the [AFIPS](https://en.wikipedia.org/wiki/American_Federation_of_Information_Processing_Societies) Spring Joint Computer Conference, San Francisco	1962	
(T)	[Iverson](https://aplwiki.com/wiki/Ken_Iverson)	[Programming Notation in System Design](https://www.jsoftware.com/papers/PNSD.htm)	[IBM Systems Journal](https://en.wikipedia.org/wiki/IBM_Journal_of_Research_and_Development), Volume 2, Number 2	1963	
(T)	[Iverson](https://aplwiki.com/wiki/Ken_Iverson)	[Formalism in Programming Languages](https://www.jsoftware.com/papers/FPL.htm)	Communications of the [ACM](https://en.wikipedia.org/wiki/Association_for_Computing_Machinery), Volume 7, Number 2	1964	
(T)	[Iverson](https://aplwiki.com/wiki/Ken_Iverson)	[Conventions Governing Order of Evaluation](https://www.jsoftware.com/papers/EvalOrder.htm)	Appendix A of Elementary Functions: An Algorithmic Treatment, Science Research Associates	1966	
(T)	[Falkoff](https://aplwiki.com/wiki/Adin_Falkoff), [Iverson](https://aplwiki.com/wiki/Ken_Iverson)	[The APL\360 Terminal System](https://www.jsoftware.com/papers/APL360TerminalSystem.htm)	Research Report RC-1922, [IBM](https://aplwiki.com/wiki/IBM)	1967	
