SYNTAX	DESCRIPTION	CLASS	TYPE	GROUP	CATEGORY	KEYWORDS	TIO	DOCS
⍬	Empty Numeric Vector	Primitive	Array		Expression	zilde emptylist emptynumericlist zerotilde emptyvector null emptyset none ∅ voidlist	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQe9a5ReNS5UMHgUe8Wg///AQ	https://docs.dyalog.com/20.0/language-reference-guide/other-syntax/zilde/
⊢Y	Same (I-combinator): Y	Primitive	Monadic Function		Identity	Identity-combinator dex righttack sameright default	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQedS1SUDBUMFIw/v8fAA	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/same/
X DOP Y⊢Z	Separate right operand of dyadic operator (DOP) from its right argument (same as (X DOP Y)Z )	Primitive	Dyadic Function		Identity	dex righttack sameright	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQe9ex91LvYWOFR1yIF9cjKSvX//wE	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/same/
X⊢Y	Right (K-combinator): Y	Primitive	Dyadic Function		Identity	Kestrel-bird dex righttack sameright	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExTUfdQVHnUtUlAPUv//HwA	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/right/
X⊢Y	Church Boolean false (X if false, else Y)	Primitive	Dyadic Function		Boolean/Logical	falsy falsey 0	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExTUS4pKU9UVHnUtUlBPS8wpTlX//x8A	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/right/
⊣Y	Same (I-combinator): Y	Primitive	Monadic Function		Identity	Identity-combinator lev lefttack	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQedS1WUDBUMFIw/v8fAA	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/same/
X⊣Y	Left (KI-combinator): X	Primitive	Dyadic Function		Identity	lev lefttack sameleft defer ignore where kite-bird	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExTUfdQVHnUtVlAPUv//HwA	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/left/
X⊣Y	Church Boolean true (X if true, else Y)	Primitive	Dyadic Function		Boolean/Logical	truthy 1	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExTUS4pKU9UVHnUtVlBPS8wpTlX//x8A	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/left/
+Y	Conjugate ('Identity' if Y not complex)	Primitive	Monadic Function		Mathematical	greek cross plus ¯10○ ¯10∘○ conj() conjugating	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExS0FQz1jBQMskwUDq03zTq03kxBPTEpWf3/fwA	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/conjugate/
+N	Mirror complex N across x-axis	Primitive	Monadic Function		Circular/Trigonometric	greek cross conjugate negateimaginary mirroring reflecting reflection	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtE7QNvYwUDq039Dq03uj/fwA	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/conjugate/
M+N	Adding N to M	Primitive	Dyadic Function		Mathematical	greek cross plus addition	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFYwUjBVMFLQVDA24UMS0geSh9SYKhv//AwA	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/plus/
-N	Negate: 0-N	Primitive	Monadic Function		Mathematical	minus hyphen invert additiveinverse opposite dash negation signchange − negating	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExR0FYz1jBQOrTdXMPj/HwA	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/negate/
M-N	Subtracting N from M	Primitive	Dyadic Function		Mathematical	minus dash hyphen subtraction difference −	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSMFcwVLBV0FUy5oAKmCoYKJkABI6CUyf//AA	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/minus/
×N	Direction ('Signum' if N is real)	Primitive	Monadic Function		Mathematical	cross sgn() sign() trend	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQOT1cw1jNUOLTeSMFAwTjL5P9/AA	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/direction/
M×N	Multiplying M and N	Primitive	Dyadic Function		Mathematical	cross times multiplication ∙ ⋅ · product	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSMFA6tN1Yw0TNVODwdzDy03kTBiAsqa6xgqGACkjE0@P8fAA	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/times/
M×N	Probabilistic AND	Primitive	Dyadic Function		Mathematical	fuzzy probability chance conjunction Kpq	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFQz0TIHYCEgoHJ4O4v3/DwA	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/times/
Mm×Nm	Hadamard product of Mm and Nm	Primitive	Dyadic Function		Mathematical	cross times multiplication ○ ⊙ element-wise entrywise Schur matrix matrices	https://tio.run/##SyzI0U2pTMzJT///31HhUdsEBSMF40e9WwwNFIwMdIwNFEwMdEwNFMwMuJyQZRWMdIwVTHRMFcy4HvVNBUk4KhyeruD0/z8A	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/times/
A×N	Selecting elements satisfying condition A, others to 0	Primitive	Dyadic Function		Boolean/Logical	zero cells items	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMgdAAjA9PVzAGMkyA2PT/fwA	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/times/
M∨N	Greatest Common Divisor of M and N	Primitive	Dyadic Function		Mathematical	gcd() gcf() factor hcf() highest gcm() measure hcd Caron hacek invertedcircumflex checkmark hachek wedge	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMTRUMFYwUzBUedaxQMAZxTBQM/v8HAA	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/greatest-common-divisor-or/
A∨B	Logical OR	Primitive	Dyadic Function		Boolean/Logical	gate disjunction vel alternation Caron hacek invertedcircumflex checkmark hachek Apq wedge + || ∥	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFAzB@FHHCiANYhn@/w8A	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/greatest-common-divisor-or/
M∧N	Lowest Common Multiple of M and N	Primitive	Dyadic Function		Mathematical	least smallest lcm() denominator lcd() caret hat circumflex ^	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMTRUMFYwUzBUedSxXMAZxTBQM/v8HAA	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/lowest-common-multiple-and/
A∧B	Logical AND	Primitive	Dyadic Function		Boolean/Logical	gate conjunction caret hat circumflex Kpq ^ • ⋅ ∙ &&	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFAzB@FHHciANYhn@/w8A	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/lowest-common-multiple-and/
⌈N	Rounding up to integer	Primitive	Monadic Function		Mathematical	upstile roundup ceiling seiling up() ceil()	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQe9XQoGOuZKBxaDyKNFQz@/wcA	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/ceiling/
