¯12∘○N	*N×0J1	Tacit	Monadic Function		Circular/Trigonometric	¯12○ antiphase phasor cis()		https://help.dyalog.com/latest/#Language/Primitive%20Functions/Circular.htm
{¯12○⍵}N	*N×0J1	Dfn	Monadic Function		Circular/Trigonometric	¯12○ antiphase phasor cis()		https://help.dyalog.com/latest/#Language/Primitive%20Functions/Circular.htm
¯10∘○N	+N (complex conjugate)	Tacit	Monadic Function		Circular/Trigonometric	¯10○ complexconjugate		https://help.dyalog.com/latest/#Language/Primitive%20Functions/Circular.htm
{¯10○⍵}N	+N (complex conjugate)	Dfn	Monadic Function		Circular/Trigonometric	¯10○ complexconjugate		https://help.dyalog.com/latest/#Language/Primitive%20Functions/Circular.htm
¯1∘-J	2's-complement bit-wise NOT	Tacit	Monadic Function		Boolean/Logical	bitwise binary gate logicalnot logicalnegation logicalcomplement negate inverting inversion 2s two's twos		https://help.dyalog.com/latest/#Language/Primitive%20Functions/Subtract.htm
{¯1-⍵}J	2's-complement bit-wise NOT	Dfn	Monadic Function		Boolean/Logical	bitwise binary gate logicalnot logicalnegation logicalcomplement negate inverting inversion 2s two's twos		https://help.dyalog.com/latest/#Language/Primitive%20Functions/Subtract.htm
M(12○⊣+0J1×⊢)N	2-argument arctangent (M:x, N:y)	Tacit	Dyadic Function		Mathematical	atan2() arctan2() atn2() arctn2() atng2() arctng2()		
M{12○⍺+0J1×⍵}N	2-argument arctangent (M:x, N:y)	Dfn	Dyadic Function		Mathematical	atan2() arctan2() atn2() arctn2() atng2() arctng2()		
((⍳-∘⌈÷∘2)(⊣⊖⌽),⍨⍴∘⍳×⍨)Js	A magic square, odd side Js	Tacit	Monadic Function		Mathematical			
{r⊖(r←(⍳⍵)-⌈⍵÷2)⌽⍵ ⍵⍴⍳⍵*2}Js	A magic square, odd side Js	Dfn	Monadic Function		Mathematical			
M(|-)N	Absolute distance between X and Y	Tacit	Dyadic Function		Mathematical	magnitudeof cartesian		
M{|⍺-⍵}N	Absolute distance between X and Y	Dfn	Dyadic Function		Mathematical	magnitudeof cartesian		
(∊1⎕NPARTS⊢)Dv	Absolute path name	Tacit	Monadic Function		System	filesystem folder directory full normalised normalized simplified simplify		
{∊1⎕NPARTS⍵}Dv	Absolute path name	Dfn	Monadic Function		System	filesystem folder directory full normalised normalized simplified simplify		
((3⌽']  [',⍕)⍤0∘⍳∘≢,⍕)Ym	Add line numbers to table Xm	Tacit	Monadic Function		Text	matrix string		
{({3⌽']  [',⍕⍵}⍤0⍳≢⍵),⍕⍵}Ym	Add line numbers to table Xm	Dfn	Monadic Function		Text	matrix string		
Iv∘.+Jv	Addition Table for Iv down and Jv across	Tacit	Monadic Function		Mathematical	additiontable cartesianaddition plustable matrix		
∘.+⍨∘⍳Js	Addition Table for Numbers up to Js	Tacit	Monadic Function		Mathematical	additiontable cartesianaddition plustable matrix integers		
{i∘.+i←⍳⍵}Js	Addition Table for Numbers up to Js	Dfn	Monadic Function		Mathematical	additiontable cartesianaddition plustable matrix integers		
Is(⊢↑⍨⊢∘≢,⊣)Ym	Adjust Ym to width Is (positive Is to pad/chop on right, negative Is to pad/chop on left)	Tacit	Dyadic Function		Structural	fill limit		
Is{((≢⍵),⍺)↑⍵}Ym	Adjust Ym to width Is (positive Is to pad/chop on right, negative Is to pad/chop on left)	Dfn	Dyadic Function		Structural	fill limit		
(⊢⌽⍨¯1+⍳∘≢)Ym	Align the diagonals of a matrix into columns (with wrap-around)	Tacit	Dyadic Function		Structural	table		
{(¯1+⍳≢⍵)⌽⍵}Ym	Align the diagonals of a matrix into columns (with wrap-around)	Dfn	Dyadic Function		Structural	table		
(+/∘∪⊢∨¯1↓⍳)Js	Aliquot sum (sum of proper divisors)	Tacit	Monadic Function		Mathematical	s(n) divisorsum		
